SeqNum,St Name,Town,Month,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other,Comments
1,Wester Coates Terrace,Edinburgh,April,4/28/2010,7:15,A,3,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,No litter but heavy detritus
2,Saughton Park,Edinburgh,April,4/28/2010,9:25,B,3,1,1,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0,
3,Carrick Knowe Rd,Edinburgh,April,4/28/2010,9:40,B,3,2,1,1,3,3,1,0,0,0,1,0,0,1,0,0,1,1,0,Construction waste at Drway number 73
4,Carrick Knowe Rd,Edinburgh,April,4/28/2010,9:50,C,3,2,1,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,Dog fouling
5,Belgrave Rd,Edinburgh,April,4/28/2010,10:10,C,3,1,1,1,4,4,1,0,0,1,0,1,0,1,0,0,0,0,0,
6,Belgrave Rd,Edinburgh,April,4/28/2010,10:15,B,3,1,1,1,3,4,1,0,0,1,1,1,0,1,0,0,0,0,0,
7,Barony Terrace,Edinburgh,April,4/28/2010,10:30,B,2,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,
8,Barony Terrace,Edinburgh,April,4/28/2010,10:40,B,2,1,1,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0,
9,Bramble Dr,Edinburgh,April,4/28/2010,10:55,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,I x crisp bag and 1 x cigarette end
10,Braehead Rd,Edinburgh,April,4/28/2010,11:15,B,3,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,
11,Braehead Rd,Edinburgh,April,4/28/2010,11:20,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
12,Crammond Crescent,Edinburgh,April,4/28/2010,11:30,B,3,1,1,2,3,3,1,0,0,1,1,1,0,1,0,0,0,0,0,
13,Kirk Crammond,Edinburgh,April,4/28/2010,11:40,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Wildlife trust - area cleaned by task force
14,Bughtlin Dr,Edinburgh,April,4/28/2010,11:50,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,
15,North Bughtlin Pl,Edinburgh,April,4/28/2010,12:00,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,
16,Turnhouse Rd,Edinburgh,April,4/28/2010,12:15,A,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
17,Turnhouse Rd,Edinburgh,April,4/28/2010,12:20,C,4,1,1,1,2,2,1,0,0,1,1,1,1,1,0,0,0,0,1,Wind blown litter from adjacent premises/business
18,Gogarloch Bank,Edinburgh,April,4/28/2010,12:50,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,
19,Fairview Rd,Edinburgh,April,4/28/2010,13:00,B,4,1,1,1,3,2,1,0,0,0,1,1,0,1,0,0,0,0,0,
20,Hillwood Rd,Edinburgh,April,4/28/2010,13:10,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
21,Queen Anne Dr,Edinburgh,April,4/28/2010,13:20,D,3,1,1,1,3,3,1,0,0,1,1,1,1,1,1,0,1,0,0,Dumped pallet and barriers + windblown litter
22,Queen Anne Dr,Edinburgh,April,4/28/2010,13:30,C,3,1,1,1,3,3,1,0,0,0,1,1,1,1,1,1,0,0,0,Windblown litter
23,Scotstoun Avenue,Edinburgh,April,4/28/2010,13:50,B,3,1,1,1,2,3,1,0,0,0,0,1,0,1,0,1,0,0,0,Spillage from overblown wheelie bin
24,Burgess Rd,Edinburgh,April,4/28/2010,14:05,B,3,1,1,1,2,3,1,0,0,1,1,1,0,1,0,0,0,0,0,
25,Ashburnham Gardens,Edinburgh,April,4/28/2010,14:10,B,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0,
26,Brighouse Park Cross,Edinburgh,April,4/28/2010,14:30,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No litter/weeds in St
27,Torphican St,Edinburgh,April,4/26/2010,11:15,A,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
