"(55.94259899999999, -3.2214644)",Dalry Road
"(55.953252, -3.188267)",Waterloo Place
"(55.9597257, -3.2140138)",Raeburn Mews
"(55.9193987, -3.137297)",Old Dalkeith Road
"(55.6230899, -3.0547398)",Peebles Road
"(55.9572131, -3.2065205)",North West Circus Place
"(55.967721, -3.3027858)",Barnton Avenue West
"(55.9684136, -3.1740429)",Leith Walk
"(55.9674524, -3.3033841)",Barnton Avenue West
"(55.9728806, -3.1755716)",Great Junction Street
"(55.91230669999999, -3.1025405)",Newton Church Road
"(55.94759089999999, -3.2069439)",Lothian Road
"(55.96650289999999, -3.1814103)",Pilrig Street
"(55.9699585, -3.1853694)",Newhaven Road
"(55.933134, -3.1274094)",Niddrie Mains Road
"(55.9448855, -3.1974261)",Lauriston Place
"(55.9569205, -3.1869948)",Picardy Place
"(55.8951422, -3.7008124)",South Street
"(55.8777936, -3.6221663)",Mosside Drive
"(55.8778786, -3.6223686)",Beechwood Road
"(55.945458, -3.1879542)",Bristo Square
"(55.9403596, -3.2900841)",Ladywell Road
"(55.9509139, -3.2061059)",South Charlotte Street
"(55.9100473, -3.2297433)",Oxgangs Road North
"(55.9473666, -3.1825424)",East Adam Street
"(55.9284583, -3.2845576)",Broomhouse Road
"(55.9356271, -3.1890831)",Mansionhouse Road
"(55.9479508, -3.1965396)",Patrick Geddes Steps
"(55.97269559999999, -3.1692981)",Coatfield Lane
"(55.91126500000001, -3.2736898)",Clovenstone Park
"(55.8693083, -3.1002386)",Sherwood Crescent
"(55.9632248, -3.2321944)",Crewe Road South
"(55.9415455, -3.2811654)",Kirk Loan
"(55.9320489, -3.2657336)",B Saughton Mains Street
"(55.9737915, -3.158481)",Salamander Street
"(55.9500811, -3.1882366)",The Royal Mile
"(55.9334192, -3.2644177)",Stenhouse Drive
"(55.96331559999999, -3.1783554)",Leith Walk
"(52.664433, -8.612087299999999)",Pennywell Road
"(55.9728081, -3.2085247)",South Trinity Road
"(55.9718783, -3.2466493)",F West Pilton Park
"(55.94254120000001, -3.2180047)",Caledonian Crescent
"(55.9543267, -3.1860762)",Calton Hill
"(55.93274049999999, -3.2287203)",Ashley Terrace
"(55.9581289, -3.1692238)",Lady Menzies Place
"(55.9710389, -3.1639694)",Links Gardens
"(55.9772873, -3.2387247)",West Granton Road
"(55.948001, -3.1860132)",Infirmary Street
"(55.91287639999999, -3.1457274)",Gilmerton Road
"(55.9731785, -3.1731937)",Henderson Street
"(55.96962420000001, -3.161931)",East Hermitage Place
"(55.9071039, -3.2665534)",Gillespie Road
"(55.96759, -3.18715)",Pilrig
"(55.4258223, -2.7878054)",Commercial Road
"(55.90368119999999, -3.6402949)",Jarvey Street
"(55.9506865, -3.1835262)",High Street
"(55.9373983, -3.0339976)",Pinkiehill Crescent
"(55.96002490000001, -3.1421051)",Craigentinny
"(55.9555795, -3.1453272)",Piershill Square East
"(55.8791899, -3.6205931)",Beechwood Road
"(53.4843492, -2.3412424)",Monton Lane
"(55.96646819999999, -3.1755605)",Leith Walk
"(55.9412455, -3.0233261)",Delta Drive
"(55.9455156, -3.0916219)",Milton Road East
"(55.97282569999999, -3.2381267)",Crewe Road North
"(55.8267906, -3.7017784)",Burnside Terrace
"(55.95913780000001, -3.2127506)",Raeburn Place
