81 year old man robbed, Edinburgh	 81 year old man robbed	15	55.942599	-3.2214644	Dalry Rd
ACPOS drink driving campaign - full time results	 None	16	55.953252	-3.188267	Waterloo Pl
Appeal for information	 None	8	55.9597257	-3.2140138	Raeburn Mews
Appeal for info on fatal road collision	Collision	12	55.953252	-3.188267	Waterloo Pl
Appeal Rd Collision Ferniehill	Collision	12	55.9193987	-3.137297	Old Dalkeith Rd
Appeal to identify dead cyclist, Borders	 Appeal to identify dead cyclist	10	55.6230899	-3.0547398	Peebles Rd
Armed robberies Edinburgh - CCTV appeal	 None	15	55.942599	-3.2214644	Dalry Rd
Armed robbery,Dalry Rd	Robbery	8	55.942599	-3.2214644	Dalry Rd
Armed robbery,Edinburgh	Robbery	14	55.9572131	-3.2065205	North West Circus Pl
Armed robbery, Edinburgh	 Armed robbery	20	55.967721	-3.3027858	Barnton Ave West
Armed Robbery, Leith Walk	 Armed Robbery	9	55.9684136	-3.1740429	Leith Walk
Armed robbery - update	Robbery	8	55.9674524	-3.3033841	Barnton Ave West
Armed robbery Edinburgh, man arrested	 Armed robbery Edinburgh	14	55.953252	-3.188267	Waterloo Pl
Armed robbery, Edinburgh	 Armed robbery	9	55.9728806	-3.1755716	Great Junction St
Armed robbery Midlothian	Robbery	9	55.9123067	-3.1025405	Newton Church Rd
Armed robbery update, Edinburgh	 Armed robbery update	11	55.967721	-3.3027858	Barnton Ave West
Arrests, Edinburgh	 Arrests	13	55.942599	-3.2214644	Dalry Rd
Arrest counterfeit offences	 None	10	55.9475909	-3.2069439	Lothian Rd
Arrest warrant issued after serious assault	Assault	15	55.9665029	-3.1814103	Pilrig St
Artwork damaged	 None	11	55.9699585	-3.1853694	Newhaven Rd
Assault, Edinburgh	 Assault	11	55.933134	-3.1274094	Niddrie Mains Rd
Assault - Edinburgh	Assault	10	55.9448855	-3.1974261	Lauriston Pl
Assault, Edinburgh	 Assault	10	55.9569205	-3.1869948	Picardy Pl
Assault, West Lothian	 Assault	9	55.8951422	-3.7008124	South St
Assault, West Lothian	 Assault	13	55.8777936	-3.6221663	Mosside Drive
Assaults, West Lothian	 Assaults	11	55.8778786	-3.6223686	Beechwood Rd
Assault - CCTV images released	Assault	15	55.945458	-3.1879542	Bristo Square
Assault - Scottish Borders	Assault	8	55.953252	-3.188267	Waterloo Pl
Assault and attempted robbery - Edinburgh	Assault	11	55.9734024	-3.1854569	Pitt St
Assault and attempted robbery, Edinburgh	 Assault and attempted robbery	10	55.9403596	-3.2900841	Ladywell Rd
Assault and attempted robbery, Edinburgh	 Assault and attempted robbery	15	55.9509139	-3.2061059	South Charlotte St
Assault and attempted robbery, Edinburgh	 Assault and attempted robbery	10	55.9100473	-3.2297433	Oxgangs Rd N
Assault and attempt robbery	Assault	11	55.933134	-3.1274094	Niddrie Mains Rd
Assault and attempt robbery	Assault	15	55.933134	-3.1274094	Niddrie Mains Rd
Assault and robberies, Edinburgh	 Assault and robberies	11	55.9473666	-3.1825424	East Adam St
Assault and Robbery,Braidburn Valley	Assault	11	55.953252	-3.188267	Waterloo Pl
Assault and Robbery,Broomhouse	Assault	8	55.9284583	-3.2845576	Broomhouse Rd
Assault and robbery,Edinburgh	Assault	10	55.9356271	-3.1890831	Mansionhouse Rd
Assault and Robbery,Grassmaket	Assault	8	55.9479508	-3.1965396	Patrick Geddes Steps
Assault and Robbery,Leith	Assault	9	55.9726956	-3.1692981	Coatfield Lane
